Client_Information,Product_Information,Total_Transaction_Amount
CL  123400030001,CME FUN1    20100910,10.0
CL  123400030001,CME FUN1    20100910,10.0
CL  123400030001,CME FUN1    20100910,10.0
CL  123400030001,CME FUN1    20100910,10.0
CL  123400030001,CME FUN1    20100910,10.0
CL  123400030001,CME FUN1    20100910,10.0
CL  123400030001,CME FUN1    20100910,10.0
CL  123400030001,CME FUN1    20100910,10.0
CL  123400030001,CME FUN1    20100910,10.0
CL  123400030001,CME FUN1    20100910,10.0
CL  123400030001,CME FUN1    20100910,10.0
CL  123400030001,CME FUN1    20100910,10.0
CL  123400030001,CME FUN1    20100910,10.0
CL  123400030001,CME FUN1    20100910,10.0
CL  123400030001,CME FUN1    20100910,10.0
CL  123400030001,CME FUN1    20100910,10.0
CL  123400030001,CME FUN1    20100910,10.0
CL  123400030001,CME FUN1    20100910,10.0
CL  123400030001,CME FUN1    20100910,10.0
CL  123400030001,CME FUN1    20100910,10.0
CL  123400030001,CME FUN1    20100910,10.0
CL  123400030001,CME FUN1    20100910,10.0
CL  123400030001,CME FUN1    20100910,10.0
CL  123400030001,CME FUN1    20100910,10.0
CL  123400030001,CME FUN1    20100910,10.0
CL  123400030001,CME FUN1    20100910,10.0
CL  123400030001,CME FUN1    20100910,10.0
CL  123400030001,CME FUN1    20100910,10.0
CL  123400030001,CME FUN1    20100910,10.0
CL  123400030001,CME FUN1    20100910,10.0
CL  123400030001,CME FUN1    20100910,-1.0
CL  123400030001,CME FUN1    20100910,-1.0
CL  123400030001,CME FUN1    20100910,-1.0
CL  123400030001,CME FUN1    20100910,-1.0
CL  123400030001,CME FUN1    20100910,-1.0
CL  123400030001,CME FUN1    20100910,-1.0
CL  123400030001,CME FUN1    20100910,-1.0
CL  123400030001,CME FUN1    20100910,-1.0
CL  123400030001,CME FUN1    20100910,-1.0
CL  123400030001,CME FUN1    20100910,-1.0
CL  123400030001,CME FUN1    20100910,-1.0
CL  123400030001,CME FUN1    20100910,-1.0
CL  123400030001,CME FUN1    20100910,-1.0
CL  123400030001,CME FUN1    20100910,-1.0
CL  123400030001,CME FUN1    20100910,-2.0
CL  123400030001,CME FUN1    20100910,-2.0
CL  123400030001,CME FUN1    20100910,-2.0
CL  123400030001,CME FUN1    20100910,-2.0
CL  123400030001,CME FUN1    20100910,-2.0
CL  123400030001,CME FUN1    20100910,-2.0
CL  123400030001,CME FUN1    20100910,-2.0
CL  123400030001,CME FUN1    20100910,-2.0
CL  123400030001,CME FUN1    20100910,-2.0
CL  123400030001,CME FUN1    20100910,-2.0
CL  123400030001,CME FUN1    20100910,-2.0
CL  123400030001,CME FUN1    20100910,-2.0
CL  123400030001,CME FUN1    20100910,-2.0
CL  123400030001,CME FUN1    20100910,-2.0
CL  123400030001,CME FUN1    20100910,-3.0
CL  123400030001,CME FUN1    20100910,-3.0
CL  123400030001,CME FUN1    20100910,-3.0
CL  123400030001,CME FUN1    20100910,-3.0
CL  123400030001,CME FUN1    20100910,-3.0
CL  123400030001,CME FUN1    20100910,-3.0
CL  123400030001,CME FUN1    20100910,-3.0
CL  123400030001,CME FUN1    20100910,-3.0
CL  123400030001,CME FUN1    20100910,-3.0
CL  123400030001,CME FUN1    20100910,-3.0
CL  123400030001,CME FUN1    20100910,-3.0
CL  123400030001,CME FUN1    20100910,-3.0
CL  123400030001,CME FUN1    20100910,-3.0
CL  123400030001,CME FUN1    20100910,-3.0
CL  123400030001,CME FUN1    20100910,-3.0
CL  123400030001,CME FUN1    20100910,-3.0
CL  123400030001,CME FUN1    20100910,-4.0
CL  123400030001,CME FUN1    20100910,-4.0
CL  123400030001,CME FUN1    20100910,-4.0
CL  123400030001,CME FUN1    20100910,-4.0
CL  123400030001,CME FUN1    20100910,-4.0
CL  123400030001,CME FUN1    20100910,-4.0
CL  123400030001,CME FUN1    20100910,-5.0
CL  123400030001,CME FUN1    20100910,-5.0
CL  123400030001,CME FUN1    20100910,-5.0
CL  123400030001,CME FUN1    20100910,-5.0
CL  123400030001,CME FUN1    20100910,-5.0
CL  123400030001,CME FUN1    20100910,-6.0
CL  123400030001,CME FUN1    20100910,-6.0
CL  123400030001,CME FUN1    20100910,-7.0
CL  123400030001,CME FUN1    20100910,-8.0
CL  123400030001,CME FUN1    20100910,-9.0
CL  123400030001,CME FUN1    20100910,-9.0
CL  123400030001,CME FUN1    20100910,-10.0
CL  123400030001,CME FUN1    20100910,-10.0
CL  123400030001,CME FUN1    20100910,-10.0
CL  123400030001,CME FUN1    20100910,-10.0
CL  123400030001,CME FUN1    20100910,-10.0
CL  123400030001,CME FUN1    20100910,-10.0
CL  123400030001,CME FUN1    20100910,-10.0
CL  432100020001,SGX FUNK    20100910,1.0
CL  432100020001,SGX FUNK    20100910,1.0
CL  432100020001,SGX FUNK    20100910,1.0
CL  432100020001,SGX FUNK    20100910,1.0
CL  432100020001,SGX FUNK    20100910,1.0
CL  432100020001,SGX FUNK    20100910,1.0
CL  432100020001,SGX FUNK    20100910,1.0
CL  432100020001,SGX FUNK    20100910,1.0
CL  432100020001,SGX FUNK    20100910,1.0
CL  432100020001,SGX FUNK    20100910,1.0
CL  432100020001,SGX FUNK    20100910,1.0
CL  432100020001,SGX FUNK    20100910,1.0
CL  432100020001,SGX FUNK    20100910,1.0
CL  432100020001,SGX FUNK    20100910,1.0
CL  432100020001,SGX FUNK    20100910,1.0
CL  432100020001,SGX FUNK    20100910,1.0
CL  432100020001,SGX FUNK    20100910,1.0
CL  432100020001,SGX FUNK    20100910,1.0
CL  432100020001,SGX FUNK    20100910,1.0
CL  432100020001,SGX FUNK    20100910,1.0
CL  432100020001,SGX FUNK    20100910,1.0
CL  432100020001,SGX FUNK    20100910,1.0
CL  432100020001,SGX FUNK    20100910,1.0
CL  432100020001,SGX FUNK    20100910,1.0
CL  432100020001,SGX FUNK    20100910,1.0
CL  432100020001,SGX FUNK    20100910,1.0
CL  432100020001,SGX FUNK    20100910,1.0
CL  432100020001,SGX FUNK    20100910,1.0
CL  432100020001,SGX FUNK    20100910,1.0
CL  432100020001,SGX FUNK    20100910,1.0
CL  432100020001,SGX FUNK    20100910,1.0
CL  432100020001,SGX FUNK    20100910,1.0
CL  432100020001,SGX FUNK    20100910,1.0
CL  432100020001,SGX FUNK    20100910,1.0
CL  432100030001,CME FUN1    20100910,-4.0
CL  432100030001,CME FUN1    20100910,-4.0
CL  432100030001,CME FUN1    20100910,-4.0
CL  432100030001,CME FUN1    20100910,-4.0
CL  432100030001,CME FUN1    20100910,-4.0
CL  432100030001,CME FUN1    20100910,-4.0
CL  432100030001,CME FUN1    20100910,-5.0
CL  432100030001,CME FUN1    20100910,-5.0
CL  432100030001,CME FUN1    20100910,-5.0
CL  432100030001,CME FUN1    20100910,-5.0
CL  432100030001,CME FUN1    20100910,-5.0
CL  432100030001,CME FUN1    20100910,-6.0
